Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
7385,All-Pro Football 2K8,all-pro-football-2k8,Sports,E10,X360,2K Sports,Visual Concepts,,7.5,,,0.26,0.24,,,0.02,2007.0,,http://www.vgchartz.com/game/7032/all-pro-football-2k8/?region=All,1,,/games/boxart/8115191ccc.jpg
7386,Lowrider,lowrider,Misc,T,PS2,Jaleco,Pacific Century Cyber Works Japan,,,,,0.26,0.11,0.09,0.03,0.03,2003.0,,http://www.vgchartz.com/game/3673/lowrider/?region=All,1,,/games/boxart/full_8976342AmericaFrontccc.jpg
7387,The Adventures of Tintin: The Game,the-adventures-of-tintin-the-game,Adventure,E10,PS3,Ubisoft,Ubisoft,,,,,0.26,0.06,0.15,,0.05,2011.0,,http://www.vgchartz.com/game/51781/the-adventures-of-tintin-the-game/?region=All,1,,/games/boxart/full_the-adventures-of-tintin-the-game_14PALFront.jpg
7388,Total War: Attila,total-war-attila,Strategy,T,PC,Sega,Creative Assembly,,,,,0.26,0.11,0.14,,0.02,2015.0,29th May 18,http://www.vgchartz.com/game/84622/total-war-attila/?region=All,1,,/games/boxart/full_3392048PALFrontccc.jpg
7389,Tropico 4,tropico-4,Strategy,T,PC,Kalypso,Haemimont Games,,7.9,,,0.26,0.1,0.13,,0.03,2011.0,,http://www.vgchartz.com/game/46767/tropico-4/?region=All,1,,/games/boxart/full_tropico-4_708AmericaFront.jpg
7390,Dungeons & Dragons: Eye of the Beholder,dungeons-amp-dragons-eye-of-the-beholder,Role-Playing,E,GBA,Atari,Pronto Games,,4.8,,,0.26,0.19,0.07,,0.0,2002.0,,http://www.vgchartz.com/game/14422/dungeons-amp-dragons-eye-of-the-beholder/?region=All,1,,/games/boxart/1327995ccc.jpg
7391,Etrian Odyssey: Millennium Girl,etrian-odyssey-millennium-girl,Role-Playing,T,3DS,Atlus,Atlus,,8.1,,,0.26,0.1,0.01,0.14,0.01,2013.0,10th Dec 18,http://www.vgchartz.com/game/71800/etrian-odyssey-millennium-girl/?region=All,1,,/games/boxart/full_245315AmericaFrontccc.jpg
7392,Fish Tycoon,fish-tycoon,Simulation,E,DS,Majesco,Big Fish Games / LDW,,,,,0.26,0.24,0.0,,0.02,2007.0,,http://www.vgchartz.com/game/12289/fish-tycoon/?region=All,1,,/games/boxart/full_8160918AmericaFrontccc.jpg
7393,Camera Obscura,camera-obscura,Action-Adventure,,PC,Unknown,Anteater Games,,,,0.26,,,,,,2007.0,19th Feb 19,http://www.vgchartz.com/game/223633/camera-obscura/?region=All,1,,/games/boxart/full_4546616AmericaFrontccc.jpg
7394,R.U.S.E.,ruse,Strategy,T,PC,Ubisoft,Eugen Systems,,8.0,,,0.26,0.04,0.19,,0.03,2010.0,,http://www.vgchartz.com/game/32917/ruse/?region=All,1,,/games/boxart/full_ruse_0AmericaFront.jpg
7395,FIFA 18,fifa-18,Sports,E,X360,EA Sports,EA Vancouver,,,,,0.26,0.05,0.19,,0.02,2017.0,02nd Apr 18,http://www.vgchartz.com/game/180522/fifa-18/?region=All,1,,/games/boxart/full_8115483PALFrontccc.jpg
7396,Gundam Breaker,gundam-breaker,Misc,,PS3,Namco Bandai Games,Bandai,,,,,0.26,,,0.26,,2013.0,27th Oct 18,http://www.vgchartz.com/game/74335/gundam-breaker/?region=All,1,,/games/boxart/full_8914472JapanFrontccc.jpg
7397,The House of the Dead 2,the-house-of-the-dead-2,Shooter,M,DC,Sega,Wow Entertainment,,7.5,,,0.26,,,0.26,,1999.0,,http://www.vgchartz.com/game/999/the-house-of-the-dead-2/?region=All,1,,/games/boxart/9300146ccc.jpg
7398,Asura's Wrath,asuras-wrath,Action,T,X360,Capcom,CyberConnect2,,,,,0.26,0.17,0.06,0.01,0.02,2012.0,,http://www.vgchartz.com/game/47331/asuras-wrath/?region=All,1,,/games/boxart/full_asuras-wrath_319AmericaFront.jpg
7399,A.C.E.: Another Century's Episode R,ace-another-centurys-episode-r,Simulation,,PS3,Namco Bandai,From Software,,,,,0.26,,,0.26,,2010.0,,http://www.vgchartz.com/game/44543/ace-another-centurys-episode-r/?region=All,1,,/games/boxart/full_ace-another-centurys-episode-r_6JapanFront.jpg
7400,Take Thy Throne,take-thy-throne,Action-Adventure,,PC,Unknown,Charyb Games,,,,0.26,,,,,,2010.0,19th Feb 19,http://www.vgchartz.com/game/223634/take-thy-throne/?region=All,1,,/games/boxart/full_6275951AmericaFrontccc.jpg
7401,The Incredible Hulk,the-incredible-hulk,Action,T,PS3,Sega,Edge of Reality,,5.6,,,0.26,0.22,0.02,,0.02,2008.0,,http://www.vgchartz.com/game/14806/the-incredible-hulk/?region=All,1,,/games/boxart/8378535ccc.jpg
7402,The Incredible Hulk,the-incredible-hulk,Action,T,X360,Sega,Edge of Reality,,,,,0.26,0.22,0.02,,0.02,2008.0,,http://www.vgchartz.com/game/14804/the-incredible-hulk/?region=All,1,,/games/boxart/2151093ccc.jpg
7403,Rune: Viking Warlord,rune-viking-warlord,Action,M,PS2,Take-Two Interactive,Human Head Studios,,,,,0.26,0.13,0.1,,0.03,2001.0,,http://www.vgchartz.com/game/33844/rune-viking-warlord/?region=All,1,,/games/boxart/full_6627090AmericaFrontccc.jpg
7404,Jikkyou Powerful Pro Yakyuu 2013,jikkyou-powerful-pro-yakyuu-2013,Sports,,PS3,Konami Digital Entertainment,Konami,,,,,0.26,,,0.26,,2013.0,27th Oct 18,http://www.vgchartz.com/game/74991/jikkyou-powerful-pro-yakyuu-2013/?region=All,1,,/games/boxart/full_3524193JapanFrontccc.jpg
7405,Panzer Dragoon Orta,panzer-dragoon-orta,Shooter,T,XB,Sega,Smilebit,,8.8,,,0.26,0.16,0.05,0.04,0.01,2003.0,,http://www.vgchartz.com/game/1712/panzer-dragoon-orta/?region=All,1,,/games/boxart/266937ccc.jpg
7406,Jikkyou Powerful Pro Yakyuu '99 Ketteiban,jikkyou-powerful-pro-yakyuu-99-ketteiban,Sports,,PS,Konami,Diamond Head,,,,,0.26,,,0.25,0.02,1999.0,,http://www.vgchartz.com/game/4086/jikkyou-powerful-pro-yakyuu-99-ketteiban/?region=All,1,,/games/boxart/full_5773852JapanFrontccc.jpg
7407,Ninja Gaiden Sigma Plus,ninja-gaiden-sigma-plus,Action,M,PSV,Tecmo Koei,Team Ninja,,,,,0.26,0.12,0.06,0.04,0.04,2012.0,,http://www.vgchartz.com/game/63450/ninja-gaiden-sigma-plus/?region=All,1,,/games/boxart/full_ninja-gaiden-sigma_471AmericaFront.jpg
7408,Dead Rising 2: Off the Record,dead-rising-2-off-the-record,Action,M,PC,Capcom,Blue Castle Games,,6.8,,0.26,,,,,,2011.0,,http://www.vgchartz.com/game/50856/dead-rising-2-off-the-record/?region=All,1,,/games/boxart/full_dead-rising-2-off-the-record_462AmericaFront.jpg
7409,Etrian Odyssey II: Heroes of Lagaard,etrian-odyssey-ii-heroes-of-lagaard,Role-Playing,E10,DS,Atlus,Atlus Co. / Lancarse,,8.4,,,0.26,0.09,,0.16,0.01,2008.0,,http://www.vgchartz.com/game/16079/etrian-odyssey-ii-heroes-of-lagaard/?region=All,1,,/games/boxart/8459939ccc.jpg
7410,Superman Returns,superman-returns,Action,T,X360,Electronic Arts,EA Tiburon,,5.0,,,0.26,0.23,0.01,,0.02,2006.0,,http://www.vgchartz.com/game/5791/superman-returns/?region=All,1,,/games/boxart/2035151ccc.jpg
7411,King's Field II,kings-field-ii,Role-Playing,T,PS,ASCII Entertainment,From Software,,7.3,,,0.26,0.08,0.06,0.11,0.02,1996.0,,http://www.vgchartz.com/game/3597/kings-field-ii/?region=All,1,,/games/boxart/full_6186256AmericaFrontccc.jpg
7412,Bit Blaster XL,bit-blaster-xl,Shooter,,PC,Unknown,Nickervision Studios,,,,0.26,,,,,,1996.0,19th Feb 19,http://www.vgchartz.com/game/223635/bit-blaster-xl/?region=All,1,,/games/boxart/full_866238AmericaFrontccc.jpg
7413,NCAA Gamebreaker,ncaa-gamebreaker,Sports,,PS,Sony Computer Entertainment,SCEA,,6.3,,,0.26,0.15,0.1,,0.02,1996.0,,http://www.vgchartz.com/game/1560/ncaa-gamebreaker/?region=All,1,,/games/boxart/6984514ccc.jpg
